Cytokine;Checkpoint;Chemokine;Growth_factor;Cell_adhesion
IL26;;;;
IL27;;;;
IL27RA;;;;
IL2RA;;;;
IL2RB;;;;
IL2RG;;;;
IL3;;;;
IL31;;;;
IL31RA;;;;
IL32;;;;
IL33;;;;
IL34;;;;
IL36A;;;;
IL36B;;;;
IL36G;;;;
IL36RN;;;;
IL37;;;;
IL3RA;;;;
IL4;;;;
IL4R;;;;
IL5;;;;
IL5RA;;;;
IL6;;;;
IL6R;;;;
IL6ST;;;;
IL7;;;;
IL7R;;;;
IL9;;;;
IL9R;;;;
INHA;;;;
INHBA;;;;
INHBB;;;;
INHBC;;;;
INHBE;;;;
KIT;;;;
KITLG;;;;
LEP;;;;
LEPR;;;;
LIF;;;;
LIFR;;;;
LTA;;;;
LTB;;;;
LTBR;;;;
MIF;;;;
MPL;;;;
MSTN;;;;
NGFR;;;;
NODAL;;;;
OSM;;;;
OSMR;;;;
PDGFA;;;;
PDGFB;;;;
PDGFC;;;;
PDGFRA;;;;
PDGFRB;;;;
PRL;;;;
PRLR;;;;
RELT;;;;
SCD2;;;;
SIGIRR;;;;
STX1A;;;;
STX3;;;;
STX4;;;;
TGFA;;;;
TGFB1;;;;
TGFB2;;;;
TGFB3;;;;
TGFBR1;;;;
TGFBR2;;;;
THPO;;;;
TNF;;;;
TNFRSF10A;;;;
TNFRSF10B;;;;
TNFRSF10C;;;;
TNFRSF10D;;;;
TNFRSF11A;;;;
TNFRSF11B;;;;
TNFRSF12A;;;;
TNFRSF13B;;;;
TNFRSF13C;;;;
TNFRSF14;;;;
TNFRSF17;;;;
TNFRSF18;;;;
TNFRSF19;;;;
TNFRSF1A;;;;
TNFRSF1B;;;;
TNFRSF21;;;;
TNFRSF25;;;;
TNFRSF4;;;;
TNFRSF6B;;;;
TNFRSF8;;;;
TNFRSF9;;;;
TNFSF10;;;;
TNFSF11;;;;
TNFSF12;;;;
TNFSF13;;;;
TNFSF13B;;;;
TNFSF14;;;;
TNFSF15;;;;
TNFSF18;;;;
TNFSF4;;;;
TNFSF8;;;;
TNFSF9;;;;
TSLP;;;;
TXLNA;;;;
